Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
6,35000,Beach,Warm,Bikes,"Marble Beach, Trincomalee"
4,80000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
2,70000,City,Moderate,Van,"Kurunegala City, Kurunegala"
6,17000,Beach,Warm,Bikes,"Jungle Beach, Unawatuna"
25,55000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
5,200000,Beach,Warm,Car,"Tangalle Beach, Tangalle"
1,8000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,85000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
9,180000,Mountains,Cool,Bikes,"Diyatalawa, Badulla"
13,140000,City,Moderate,Bikes,"Galle City, Galle"
13,58000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
20,110000,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
10,68000,Beach,Warm,Rosa Bus,"Bentota Beach, Bentota"
17,85000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
18,38000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
2,55000,Historical Site,Moderate,Car,"Galle Fort, Galle"
21,60000,Beach,Warm,Rosa Bus,"Dickwella Beach, Dickwella"
3,140000,Forest,Tropical,Car,"Kottawa Arboretum, Galle"
2,8000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
14,22000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
1,10000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
16,28000,Mountains,Cool,Public Transport,"Kirigalpotta, Nuwara Eliya"
17,44000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
5,150000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
25,150000,Mountains,Cool,Public Transport,"Nine Arches Bridge, Ella"
20,45000,Beach,Warm,Public Transport,"Arugam Bay, Ampara"
1,3500,Historical Site,Moderate,Van,"Anuradhapura, Anuradhapura"
18,150000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
16,20000,Historical Site,Moderate,Rosa Bus,"Mihintale, Mihintale"
25,38000,Beach,Warm,Public Transport,"Beruwala Beach, Beruwala"
3,80000,Historical Site,Moderate,Car,"Aluvihare Rock Temple, Matale"
1,3100,City,Moderate,Public Transport,"Galle City, Galle"
10,50000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
10,140000,Beach,Warm,Public Transport,"Marble Beach, Trincomalee"
2,33000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
1,17000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
21,65000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
1,2900,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,48000,Mountains,Cool,Van,"Nine Arches Bridge, Ella"
5,75000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
25,190000,Mountains,Warm,Public Transport,"Pidurangala, Sigiriya"
2,25000,City,Moderate,Van,"Negombo City, Negombo"
15,150000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
7,14000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
25,65000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
13,100000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
15,19000,Historical Site,Moderate,Bikes,"Aluvihare Rock Temple, Matale"
5,15000,City,Moderate,Van,"Matara City, Matara"
7,100000,City,Moderate,Rosa Bus,"Matara City, Matara"
25,38000,City,Hot,Public Transport,"Jaffna City, Jaffna"
19,50000,Mountains,Cool,Public Transport,"Devon Falls, Nuwara Eliya"
19,55000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
12,19000,Mountains,Cool,Van,"Lipton�s Seat, Haputale"
23,75000,Mountains,Cool,Public Transport,"Kirigalpotta, Nuwara Eliya"
22,200000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
24,75000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
10,65000,Historical Site,Moderate,Van,"Dambulla Cave Temple, Dambulla"
3,9000,Lakeside,Moderate,Van,"Victoria Reservoir, Kandy"
9,55000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
16,30000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
9,58000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
13,19000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
12,22000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
6,190000,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
21,28000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
4,58000,City,Moderate,Van,"Kurunegala City, Kurunegala"
19,60000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
18,60000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
13,130000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
15,45000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
17,100000,City,Moderate,Bikes,"Matara City, Matara"
7,110000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
