Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Lakeside,Monaragala,"Girithale Wewa, Polonnaruwa",Moderate,23,124000,cottage,5,Polonnaruwa
Mountains,Batticaloa,"Little Adam's Peak, Ella",Cool,20,85000,2-star hotel,5,Badulla
Lakeside,Hambantota,"Koggala Lake, Koggala",Moderate,13,28000,villa,2,Galle
Cultural,Ampara,"Polonnaruwa Ruins, Polonnaruwa",Warm,21,69000,cottage,3,Polonnaruwa
Historical,Kilinochchi,"Jethawanaramaya, Anuradhapura",Warm,21,450000,4-star hotel,6,Anuradhapura
Wildlife,Kurunegala,"Minneriya National Park, Polonnaruwa",Warm,21,250000,cottage,4,Polonnaruwa
Mountains,Kandy,"Ravana Falls, Ella",Cool,12,160000,villa,8,Badulla
Lakeside,Matale,"Tissa Wewa, Tissamaharama",Moderate,15,150000,cottage,7,Hambantota
Mountains,Jaffna,"Thotupola Kanda, Nuwara Eliya",Cool,7,120000,villa,7,Nuwara Eliya
Mountains,Kegalle,"Knuckles Mountain Range, Matale",Cool,6,60000,camping,4,Matale
Wildlife,Kalutara,"Hurulu Eco Park, Polonnaruwa",Warm,22,450000,3-star hotel,9,Polonnaruwa
Cultural,Galle,"Jethawanaramaya, Anuradhapura",Warm,11,170000,villa,8,Anuradhapura
Mountains,Nuwara Eliya,"Pidurangala, Sigiriya",Warm,19,600000,5-star hotel,6,Matale
Lakeside,Kalutara,"Parakrama Samudraya, Polonnaruwa",Moderate,13,75000,guest houses,3,Polonnaruwa
Wildlife,Vavuniya,"Udawalawe National Park, Ratnapura",Warm,3,60000,4-star hotel,2,Ratnapura
Wildlife,Batticaloa,"Maduru Oya National Park, Polonnaruwa",Warm,17,70000,camping,7,Polonnaruwa
Lakeside,Kilinochchi,"Handapanagala Lake, Wellawaya",Moderate,8,95000,villa,9,Monaragala
Cultural,Hambantota,"Abhayagiri Dagaba, Anuradhapura",Warm,4,150000,3-star hotel,3,Anuradhapura
Historical,Kandy,"Dambulla Cave Temple, Dambulla",Warm,6,40000,camping,6,Matale
Lakeside,Anuradhapura,"Madu River, Balapitiya",Moderate,2,75000,3-star hotel,5,Galle
Mountains,Monaragala,"Thotupola Kanda, Nuwara Eliya",Cool,21,200000,2-star hotel,6,Nuwara Eliya
Wildlife,Monaragala,"Pigeon Island National Park, Trincomalee",Warm,18,160000,2-star hotel,4,Trincomalee
Beach,Matale,"Weligama Beach, Weligama",Warm,9,120000,3-star hotel,4,Matara
Forest,Jaffna,"Badulla Forest, Badulla",Tropical,21,95000,guest houses,5,Badulla
Wildlife,Vavuniya,"Lunugamvehera National Park, Hambantota",Warm,11,190000,2-star hotel,5,Hambantota
Lakeside,Anuradhapura,"Gal Oya, Ampara",Moderate,2,30000,guest houses,2,Ampara
Forest,Puttalam,"Kottawa Arboretum, Galle",Tropical,4,75000,other,1,Galle
Mountains,Ratnapura,"Devon Falls, Nuwara Eliya",Cool,22,90000,villa,2,Nuwara Eliya
Beach,Hambantota,"Nilaveli Beach, Trincomalee",Warm,14,156000,cottage,7,Trincomalee
Historical,Ampara,"Galle Fort, Galle",Warm,7,25000,other,2,Galle
Historical,Anuradhapura,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,14,200000,villa,5,Colombo
Historical,Polonnaruwa,"Abhayagiri Dagaba, Anuradhapura",Warm,8,60000,3-star hotel,1,Anuradhapura
Lakeside,Matara,"Victoria Dam, Kandy",Moderate,23,250000,5-star hotel,2,Kandy
Wildlife,Ampara,"Yala National Park, Hambantota",Warm,4,80000,3-star hotel,8,Hambantota
Beach,Jaffna,"Polhena Beach, Matara",Warm,5,120000,4-star hotel,4,Matara
Cultural,Jaffna,"Munneswaram Temple, Chilaw",Warm,23,250000,4-star hotel,4,Puttalam
Cultural,Trincomalee,"Ambuluwawa Temple, Gampola",Moderate,12,90000,other,6,Kandy
Historical,Batticaloa,"Ruwanwelisaya, Anuradhapura",Warm,23,75000,3-star hotel,1,Anuradhapura
Historical,Colombo,"Sigiriya, Sigiriya",Warm,23,90000,other,3,Matale
Cultural,Polonnaruwa,"Temple of the Tooth, Kandy",Moderate,20,150000,villa,3,Kandy
Forest,Badulla,"Meemure, Kandy",Tropical,22,90000,guest houses,2,Kandy
Historical,Hambantota,"Sigiriya, Sigiriya",Warm,22,160000,villa,5,Matale
Beach,Mannar,"Unawatuna Beach, Galle",Warm,7,55000,camping,4,Galle
Beach,Kurunegala,"Passekudah Beach, Passekudah",Warm,14,90000,villa,2,Batticaloa
Mountains,Puttalam,"Little Adam's Peak, Ella",Cool,8,160000,4-star hotel,1,Badulla
Historical,Kurunegala,"Abhayagiri Dagaba, Anuradhapura",Warm,18,75000,camping,3,Anuradhapura
